Product_ID,Product_Name,Category,Brand,Average_Price,SPF_Rating,Skin_Type,Hair_Type,Age_Group,Gender,Popularity_Rating,Usage_Frequency,Primary_Ingredient,Fragrance_Type,Waterproof,Organic,Paraben_Free,Summer_Essential_Score,Region_Usage,Online_Availability
P00095,Serum,Bodycare,L'Oréal,1222.2,15,Dry,Coily,Teen,Female,2,Occasional,Vitamin C,Citrus,Yes,No,Yes,4,East,Brand Website
P00096,Serum,Haircare,Dove,121.44,0,Dry,Wavy,Teen,Unisex,1,Daily,Vitamin C,Unscented,No,No,Yes,4,North,Brand Website
P00097,Body Lotion,Haircare,Lakmé,178.73,30,Dry,,Senior,Male,5,Daily,Rose Water,Woody,Yes,Yes,Yes,4,East,Amazon
P00098,Face Wash,Fragrance,Himalaya,414.38,30,Combination,Straight,Teen,Male,4,Occasional,Charcoal,Citrus,Yes,No,No,9,West,Myntra
P00099,Moisturizer,Skincare,Lakmé,1368.18,0,Sensitive,,Teen,Female,2,Weekly,Aloe Vera,Unscented,No,Yes,Yes,6,North,Brand Website
P00100,Body Lotion,Skincare,Himalaya,1445.89,30,Oily,Wavy,Teen,Female,1,Daily,Tea Tree,Floral,Yes,Yes,No,4,Pan-India,Myntra
P00101,Body Lotion,Haircare,Mamaearth,559.43,30,Normal,,Adult,Unisex,2,Weekly,Vitamin C,Woody,No,No,No,6,East,Flipkart
P00102,Lip Balm,Skincare,Himalaya,1165.64,0,Oily,Straight,Senior,Male,2,Daily,Vitamin C,Floral,Yes,Yes,Yes,4,North,Flipkart
P00103,Toner,Skincare,L'Oréal,949.38,30,Dry,,Teen,Female,2,Occasional,Tea Tree,Floral,Yes,No,Yes,5,East,Amazon
P00104,Conditioner,Makeup,Himalaya,539.6,30,Combination,,Teen,Male,3,Weekly,Rose Water,Floral,Yes,No,No,5,West,Amazon
P00105,Lip Balm,Skincare,Garnier,1047.55,0,Sensitive,,Senior,Female,1,Occasional,Charcoal,Unscented,Yes,No,No,1,North,Nykaa
P00106,Lip Balm,Skincare,Biotique,598.63,15,Dry,,Teen,Female,2,Weekly,Coconut Oil,Floral,Yes,Yes,No,2,West,Flipkart
P00107,Shampoo,Haircare,Himalaya,601.39,15,Oily,,Adult,Female,4,Weekly,Rose Water,Woody,Yes,Yes,No,4,East,Amazon
P00108,Deodorant,Makeup,L'Oréal,276.21,50,Sensitive,,Teen,Male,3,Weekly,Charcoal,Unscented,Yes,No,No,1,West,Myntra
P00109,Lip Balm,Makeup,Dove,889.75,50,Normal,Straight,Senior,Male,3,Occasional,Rose Water,Floral,Yes,No,Yes,10,East,Amazon
P00110,Body Lotion,Haircare,Garnier,339.83,50,Dry,,Teen,Male,1,Weekly,Coconut Oil,Unscented,Yes,Yes,Yes,3,North,Amazon
P00111,Toner,Fragrance,Mamaearth,1400.37,30,Normal,Curly,Senior,Female,2,Weekly,Aloe Vera,Unscented,No,Yes,No,6,East,Brand Website
P00112,Sunscreen,Fragrance,Ponds,435.43,50,Dry,,Adult,Unisex,2,Daily,Rose Water,Floral,No,No,Yes,5,West,Flipkart
P00113,Face Wash,Skincare,Biotique,405.05,0,Combination,,Adult,Male,2,Daily,Coconut Oil,Unscented,No,Yes,Yes,10,South,Flipkart
P00114,Toner,Makeup,Lakmé,71.89,0,Oily,Straight,Adult,Unisex,2,Occasional,Coconut Oil,Citrus,Yes,Yes,No,4,East,Flipkart
P00115,Shampoo,Makeup,Dove,586.8,30,Normal,,Adult,Male,5,Occasional,Charcoal,Floral,Yes,No,No,7,North,Brand Website
P00116,Moisturizer,Haircare,Garnier,1237.19,50,Sensitive,Curly,Adult,Male,2,Weekly,Rose Water,Citrus,No,No,Yes,1,North,Nykaa
P00117,Toner,Makeup,Garnier,832.85,30,Normal,,Teen,Male,5,Weekly,Aloe Vera,Floral,Yes,Yes,No,4,Pan-India,Nykaa
P00118,Toner,Skincare,Ponds,470.11,50,Dry,Coily,Teen,Unisex,4,Daily,Tea Tree,Fruity,Yes,Yes,Yes,10,North,Nykaa
P00119,Serum,Haircare,Dove,342.66,50,Combination,,Adult,Male,2,Occasional,Tea Tree,Citrus,Yes,Yes,No,9,South,Nykaa
P00120,Lip Balm,Makeup,Biotique,1233.82,0,Normal,Curly,Teen,Male,3,Weekly,Rose Water,Unscented,Yes,No,No,4,East,Flipkart
P00121,Moisturizer,Bodycare,L'Oréal,914.57,0,Oily,,Teen,Female,1,Weekly,Coconut Oil,Floral,Yes,Yes,Yes,2,Pan-India,Myntra
P00122,Toner,Haircare,Biotique,1028.94,15,Oily,Straight,Adult,Unisex,5,Daily,Coconut Oil,Citrus,Yes,Yes,Yes,6,South,Myntra
P00123,Deodorant,Fragrance,Biotique,785.76,0,Normal,,Senior,Male,1,Weekly,Tea Tree,Citrus,No,No,Yes,1,South,Amazon
P00124,Sunscreen,Skincare,Lakmé,1313.96,15,Oily,Curly,Teen,Female,3,Occasional,Aloe Vera,Floral,No,No,Yes,8,East,Nykaa
P00125,Sunscreen,Makeup,L'Oréal,1099.69,50,Dry,,Adult,Female,2,Daily,Tea Tree,Fruity,No,Yes,No,2,North,Amazon
P00126,Face Wash,Haircare,Mamaearth,1109.51,50,Oily,Wavy,Teen,Unisex,5,Occasional,Rose Water,Unscented,No,Yes,No,3,East,Amazon
P00127,Toner,Skincare,Nivea,792.48,0,Combination,,Senior,Female,1,Occasional,Coconut Oil,Woody,Yes,Yes,Yes,7,West,Amazon
P00128,Serum,Makeup,Neutrogena,867.34,0,Oily,,Adult,Male,4,Weekly,Vitamin C,Woody,No,Yes,Yes,9,East,Flipkart
P00129,Body Lotion,Makeup,Dove,55.58,50,Oily,Curly,Teen,Unisex,2,Daily,Coconut Oil,Floral,No,Yes,Yes,4,North,Amazon
P00130,Moisturizer,Skincare,Himalaya,600.32,0,Combination,Wavy,Senior,Female,2,Daily,Vitamin C,Unscented,No,No,No,6,South,Nykaa
P00131,Moisturizer,Skincare,Dove,415.19,50,Combination,Straight,Teen,Female,2,Daily,Aloe Vera,Unscented,Yes,No,Yes,6,North,Nykaa
P00132,Body Lotion,Makeup,Mamaearth,804.17,50,Combination,,Teen,Male,3,Occasional,Charcoal,Fruity,Yes,Yes,Yes,9,South,Amazon
P00133,Face Wash,Fragrance,Garnier,446.58,15,Dry,Coily,Senior,Female,2,Weekly,Charcoal,Floral,No,Yes,Yes,4,East,Nykaa
P00134,Lip Balm,Bodycare,Mamaearth,458.75,0,Sensitive,,Senior,Female,5,Weekly,Tea Tree,Floral,Yes,Yes,Yes,3,North,Amazon
P00135,Serum,Bodycare,Mamaearth,1190.25,50,Normal,,Adult,Male,4,Weekly,Vitamin C,Floral,No,Yes,No,6,Pan-India,Flipkart
P00136,Shampoo,Makeup,Dove,103.03,15,Dry,,Senior,Unisex,4,Weekly,Tea Tree,Unscented,Yes,No,Yes,7,North,Amazon
P00137,Serum,Fragrance,Lakmé,787.46,0,Oily,,Senior,Female,2,Weekly,Vitamin C,Fruity,No,Yes,No,10,Pan-India,Myntra
P00138,Deodorant,Haircare,Lakmé,1437.4,50,Normal,,Teen,Male,4,Occasional,Aloe Vera,Floral,Yes,No,No,3,Pan-India,Flipkart
P00139,Serum,Haircare,L'Oréal,943.12,50,Dry,,Senior,Unisex,1,Occasional,Aloe Vera,Woody,No,No,No,2,South,Brand Website
P00140,Face Wash,Skincare,Nivea,209.33,30,Dry,,Teen,Unisex,2,Occasional,Vitamin C,Unscented,Yes,No,Yes,9,West,Brand Website
P00141,Sunscreen,Skincare,Ponds,1071.2,0,Oily,Coily,Senior,Unisex,4,Daily,Coconut Oil,Unscented,Yes,No,Yes,6,Pan-India,Flipkart
P00142,Body Lotion,Makeup,Ponds,91.5,15,Normal,,Teen,Female,3,Weekly,Aloe Vera,Floral,Yes,Yes,No,5,North,Brand Website
P00143,Lip Balm,Skincare,L'Oréal,415.65,15,Combination,,Teen,Female,1,Daily,Tea Tree,Unscented,No,Yes,No,3,South,Flipkart
P00144,Lip Balm,Fragrance,Himalaya,746.78,50,Oily,Straight,Adult,Female,2,Weekly,Coconut Oil,Citrus,Yes,No,No,8,East,Myntra
P00145,Lip Balm,Skincare,Ponds,1262.38,15,Sensitive,,Adult,Unisex,3,Weekly,Rose Water,Fruity,No,No,No,6,Pan-India,Brand Website
P00146,Toner,Bodycare,L'Oréal,1234.52,0,Sensitive,Coily,Senior,Female,3,Daily,Coconut Oil,Citrus,Yes,No,Yes,2,South,Brand Website
P00147,Serum,Makeup,Dove,1462.26,30,Sensitive,Straight,Senior,Female,2,Daily,Coconut Oil,Woody,Yes,Yes,No,6,Pan-India,Flipkart
P00148,Moisturizer,Haircare,Dove,362.9,50,Normal,,Teen,Female,4,Weekly,Aloe Vera,Woody,No,No,Yes,4,Pan-India,Nykaa
P00149,Serum,Haircare,Garnier,1118.12,30,Normal,,Adult,Female,5,Weekly,Coconut Oil,Fruity,Yes,Yes,Yes,7,East,Myntra
P00150,Shampoo,Skincare,Neutrogena,1131.67,15,Normal,,Adult,Unisex,5,Weekly,Charcoal,Citrus,Yes,No,No,6,West,Brand Website
P00151,Serum,Makeup,Lakmé,1292.72,50,Sensitive,Wavy,Senior,Male,3,Weekly,Rose Water,Citrus,No,Yes,No,8,South,Myntra
P00152,Moisturizer,Haircare,Garnier,986.04,15,Sensitive,,Senior,Unisex,2,Weekly,Aloe Vera,Fruity,No,Yes,No,7,East,Brand Website
P00153,Serum,Haircare,L'Oréal,441.62,30,Oily,,Adult,Female,4,Occasional,Charcoal,Unscented,Yes,No,No,10,East,Nykaa
P00154,Lip Balm,Fragrance,Ponds,1476.95,15,Combination,,Adult,Unisex,3,Occasional,Charcoal,Woody,Yes,Yes,No,1,East,Flipkart
P00155,Body Lotion,Skincare,Dove,1308.98,30,Normal,,Adult,Female,5,Occasional,Rose Water,Floral,No,Yes,Yes,10,West,Nykaa
P00156,Moisturizer,Haircare,Neutrogena,825.4,50,Combination,,Adult,Female,4,Occasional,Aloe Vera,Citrus,Yes,No,Yes,1,Pan-India,Nykaa
P00157,Serum,Bodycare,Ponds,883.8,15,Sensitive,Curly,Teen,Unisex,1,Occasional,Charcoal,Unscented,No,No,Yes,7,Pan-India,Nykaa
P00158,Sunscreen,Skincare,Himalaya,408.62,0,Normal,,Senior,Male,5,Weekly,Aloe Vera,Unscented,No,Yes,Yes,3,Pan-India,Myntra
P00159,Body Lotion,Skincare,Lakmé,760.58,0,Normal,,Teen,Male,4,Occasional,Charcoal,Citrus,Yes,No,No,6,Pan-India,Nykaa
P00160,Deodorant,Makeup,Garnier,1234.29,30,Sensitive,Straight,Teen,Male,5,Weekly,Charcoal,Woody,No,Yes,No,8,West,Amazon
P00161,Body Lotion,Haircare,Himalaya,76.32,0,Sensitive,,Adult,Male,2,Occasional,Aloe Vera,Fruity,No,No,Yes,9,Pan-India,Flipkart
P00162,Shampoo,Makeup,Biotique,372.63,30,Oily,,Senior,Female,2,Daily,Charcoal,Fruity,No,No,Yes,1,West,Brand Website
P00163,Shampoo,Makeup,L'Oréal,723.21,30,Sensitive,,Teen,Male,3,Weekly,Charcoal,Floral,Yes,Yes,No,2,West,Brand Website
P00164,Toner,Skincare,L'Oréal,381.94,0,Normal,Wavy,Teen,Male,3,Occasional,Rose Water,Unscented,No,Yes,No,4,North,Nykaa
P00165,Toner,Bodycare,Ponds,773.03,50,Normal,,Adult,Unisex,1,Occasional,Vitamin C,Fruity,Yes,No,No,9,East,Nykaa
P00166,Serum,Skincare,Lakmé,1342.23,30,Oily,Coily,Teen,Male,2,Occasional,Rose Water,Woody,Yes,No,No,3,North,Amazon
P00167,Body Lotion,Haircare,Nivea,1353.66,30,Dry,Coily,Adult,Unisex,3,Occasional,Vitamin C,Citrus,No,Yes,No,6,Pan-India,Flipkart
P00168,Toner,Fragrance,Garnier,1299.64,0,Combination,,Senior,Unisex,3,Occasional,Tea Tree,Unscented,Yes,Yes,Yes,2,West,Nykaa
P00169,Toner,Makeup,L'Oréal,1455.85,0,Combination,Straight,Teen,Unisex,1,Daily,Aloe Vera,Floral,Yes,No,Yes,4,North,Myntra
P00170,Toner,Haircare,Neutrogena,537.81,15,Sensitive,Coily,Teen,Unisex,3,Daily,Aloe Vera,Floral,No,Yes,Yes,7,Pan-India,Brand Website
P00171,Face Wash,Haircare,Garnier,1214.21,15,Dry,,Adult,Male,3,Occasional,Aloe Vera,Floral,No,No,Yes,8,West,Nykaa
P00172,Serum,Bodycare,Ponds,783.88,0,Combination,Straight,Senior,Male,1,Weekly,Tea Tree,Unscented,Yes,No,No,10,East,Myntra
